s0,action,reward,s2_0,done
1.6665230188604836,-1,-0.6669439037098087,0.6669439037098087,0
0.6669439037098087,-1,-0.277298919492639,-0.277298919492639,0
-0.277298919492639,1,-0.7578601568334572,0.7578601568334572,0
0.7578601568334572,1,-1.8506433248833596,1.8506433248833596,0
1.8506433248833596,-1,-0.9021675032863739,0.9021675032863739,0
0.9021675032863739,-1,-0.03550460934122091,-0.03550460934122091,0
-0.03550460934122091,1,-1.0607544319571056,1.0607544319571056,0
1.0607544319571056,1,-1.848490349555831,1.848490349555831,0
1.848490349555831,-1,-0.9112623169840773,0.9112623169840773,0
0.9112623169840773,1,-2.0221252031828256,2.0221252031828256,0
2.0221252031828256,-1,-0.8425897929011734,0.8425897929011734,0
0.8425897929011734,1,-1.9210459611656854,1.9210459611656854,0
1.9210459611656854,1,-2.756755813420276,2.756755813420276,0
2.756755813420276,1,-3.8405081540821655,3.8405081540821655,0
3.8405081540821655,-1,-2.7945986822580897,2.7945986822580897,0
2.7945986822580897,1,-3.6521283919306704,3.6521283919306704,0
3.6521283919306704,1,-4.681458519295174,4.681458519295174,0
4.681458519295174,1,-5.741689561819606,5.741689561819606,0
-1.68936701450464,1,-0.6701889289906202,-0.6701889289906202,0
-0.6701889289906202,-1,-1.7777393780789956,-1.7777393780789956,0
-1.7777393780789956,-1,-2.6854246071548205,-2.6854246071548205,0
-2.6854246071548205,1,-1.7550920238870373,-1.7550920238870373,0
-1.7550920238870373,-1,-2.8266729264770856,-2.8266729264770856,0
-2.8266729264770856,1,-1.808457475798816,-1.808457475798816,0
-1.808457475798816,1,-0.8552710584094041,-0.8552710584094041,0
-0.8552710584094041,1,-0.07041036483130576,0.07041036483130576,0
0.07041036483130576,1,-1.1211535237755506,1.1211535237755506,0
1.1211535237755506,1,-2.0574992722533936,2.0574992722533936,0
2.0574992722533936,-1,-0.9642521537824627,0.9642521537824627,0
0.9642521537824627,1,-1.8834309516727648,1.8834309516727648,0
1.8834309516727648,-1,-0.7149221112469681,0.7149221112469681,0
0.7149221112469681,-1,-0.3965980519321871,-0.3965980519321871,0
-0.3965980519321871,-1,-1.318542409748056,-1.318542409748056,0
-1.318542409748056,-1,-2.4111681110869903,-2.4111681110869903,0
-2.4111681110869903,-1,-3.2444881363911495,-3.2444881363911495,0
-3.2444881363911495,1,-2.217731357819201,-2.217731357819201,0
-2.217731357819201,-1,-3.305051034569831,-3.305051034569831,0
-3.305051034569831,-1,-4.323721724429399,-4.323721724429399,0
1.1292436561360466,1,-2.143583841687116,2.143583841687116,0
2.143583841687116,1,-3.170525589060152,3.170525589060152,0
3.170525589060152,-1,-2.212194933866775,2.212194933866775,0
2.212194933866775,-1,-1.2193669164997256,1.2193669164997256,0
1.2193669164997256,-1,-0.14477185555415295,0.14477185555415295,0
0.14477185555415295,-1,-0.8657127275966965,-0.8657127275966965,0
-0.8657127275966965,1,-0.16355256934700135,0.16355256934700135,0
0.16355256934700135,-1,-0.6045978809122361,-0.6045978809122361,0
-0.6045978809122361,1,-0.32210311060521846,0.32210311060521846,0
0.32210311060521846,-1,-0.47816353387499644,-0.47816353387499644,0
-0.47816353387499644,-1,-1.4434307623450013,-1.4434307623450013,0
-1.4434307623450013,1,-0.4072233613960362,-0.4072233613960362,0
-0.4072233613960362,1,-0.5025785422348953,0.5025785422348953,0
0.5025785422348953,1,-1.524223911735279,1.524223911735279,0
1.524223911735279,-1,-0.4680892427956916,0.4680892427956916,0
0.4680892427956916,1,-1.4802501162710389,1.4802501162710389,0
1.4802501162710389,-1,-0.5406506104193188,0.5406506104193188,0
0.5406506104193188,1,-1.6343687211366744,1.6343687211366744,0
1.6343687211366744,-1,-0.5686128734086827,0.5686128734086827,0
0.5686128734086827,1,-1.830466039515491,1.830466039515491,0
-0.28560259967882473,1,-0.6570634685980666,0.6570634685980666,0
0.6570634685980666,-1,-0.2822201939591288,-0.2822201939591288,0
-0.2822201939591288,1,-0.854575363717698,0.854575363717698,0
0.854575363717698,-1,-0.06206440933751574,-0.06206440933751574,0
-0.06206440933751574,1,-0.9048079123454976,0.9048079123454976,0
0.9048079123454976,1,-1.8854396195484735,1.8854396195484735,0
1.8854396195484735,-1,-0.9398234966561493,0.9398234966561493,0
0.9398234966561493,1,-1.9528015588553986,1.9528015588553986,0
1.9528015588553986,1,-2.9036340368819578,2.9036340368819578,0
2.9036340368819578,-1,-1.9213470263826777,1.9213470263826777,0
1.9213470263826777,1,-2.842491444490237,2.842491444490237,0
2.842491444490237,-1,-1.912033933223397,1.912033933223397,0
1.912033933223397,-1,-1.1173375350867851,1.1173375350867851,0
1.1173375350867851,1,-2.1527680196014116,2.1527680196014116,0
2.1527680196014116,-1,-1.0580022856390738,1.0580022856390738,0
1.0580022856390738,-1,-0.03550039054071963,-0.03550039054071963,0
-0.03550039054071963,1,-1.018802607734407,1.018802607734407,0
1.018802607734407,1,-1.9977563707838328,1.9977563707838328,0
1.9977563707838328,-1,-0.784218584981782,0.784218584981782,0
0.784218584981782,-1,-0.09905112192991718,-0.09905112192991718,0
2.588630071860951,-1,-1.4745818063684912,1.4745818063684912,0
1.4745818063684912,-1,-0.4955559920062165,0.4955559920062165,0
0.4955559920062165,1,-1.5310458404605227,1.5310458404605227,0
1.5310458404605227,1,-2.5071519060231466,2.5071519060231466,0
2.5071519060231466,1,-3.4794817654209216,3.4794817654209216,0
3.4794817654209216,-1,-2.400283562900946,2.400283562900946,0
2.400283562900946,1,-3.489515016369661,3.489515016369661,0
3.489515016369661,1,-4.428318784232982,4.428318784232982,0
4.428318784232982,1,-5.559005278550544,5.559005278550544,0
5.559005278550544,1,-6.546806077728041,6.546806077728041,1
-2.980024488743944,1,-2.1407466569145788,-2.1407466569145788,0
-2.1407466569145788,1,-1.16679460509761,-1.16679460509761,0
-1.16679460509761,1,-0.10788848706681292,-0.10788848706681292,0
-0.10788848706681292,1,-0.8221242228110169,0.8221242228110169,0
0.8221242228110169,-1,-0.10510669730126272,-0.10510669730126272,0
-0.10510669730126272,-1,-1.0351869240936722,-1.0351869240936722,0
-1.0351869240936722,1,-0.06251434611488003,0.06251434611488003,0
0.06251434611488003,-1,-1.040024998659474,-1.040024998659474,0
-1.040024998659474,-1,-2.1973120409724367,-2.1973120409724367,0
-2.1973120409724367,1,-1.0592557096648565,-1.0592557096648565,0
