episode,t,x,action,x2,reward,done
17,2,5.642984996337137,1,6.769851165946857,-6.769851165946857,1
18,1,2.192744762728033,1,3.4469450226170992,-3.4469450226170992,0
18,2,3.4469450226170992,1,4.469237892328824,-4.469237892328824,0
18,3,4.469237892328824,1,5.302576990133655,-5.302576990133655,0
18,4,5.302576990133655,1,6.2899334105570475,-6.2899334105570475,1
19,1,0.6561910929311257,1,1.5585899812407822,-1.5585899812407822,0
19,2,1.5585899812407822,1,2.431526902829337,-2.431526902829337,0
19,3,2.431526902829337,1,3.516741160212316,-3.516741160212316,0
19,4,3.516741160212316,1,4.457950027400889,-4.457950027400889,0
19,5,4.457950027400889,1,5.581541072012997,-5.581541072012997,0
19,6,5.581541072012997,1,6.717274579923119,-6.717274579923119,1
20,1,1.6189670565978265,1,2.6787279478115793,-2.6787279478115793,0
20,2,2.6787279478115793,1,3.7422932016126023,-3.7422932016126023,0
20,3,3.7422932016126023,1,4.711585700633299,-4.711585700633299,0
20,4,4.711585700633299,1,5.86336850614433,-5.86336850614433,0
20,5,5.86336850614433,1,6.827463302255,-6.827463302255,1
21,1,-3.3531177375410492,-1,-4.414930537560271,-4.414930537560271,0
21,2,-4.414930537560271,-1,-5.389522242117404,-5.389522242117404,0
21,3,-5.389522242117404,-1,-6.336193733301288,-6.336193733301288,1
22,1,1.247913640110693,1,2.131697108202123,-2.131697108202123,0
