Mode,Density,Speed,Node_ID,Failed_Node,Failure_Count,Transmit_Count,Failure_Rate
기존,고밀도,고속,9,node[63],17,9733,0.1746635158738313
기존,고밀도,고속,9,node[49],54,9733,0.5548135210109936
기존,고밀도,고속,9,node[134],31,9733,0.3185040583581629
기존,고밀도,고속,9,node[279],73,9733,0.7500256858111579
기존,고밀도,고속,9,node[91],109,9733,1.1199013664851536
기존,고밀도,고속,9,node[302],85,9733,0.8733175793691564
기존,고밀도,고속,9,node[36],16,9733,0.16438919141066474
기존,고밀도,고속,9,node[9],111,9733,1.1404500154114867
기존,고밀도,고속,9,node[384],7,9733,0.07192027124216582
기존,고밀도,고속,9,node[85],23,9733,0.2363094626528306
기존,고밀도,고속,9,node[111],13,9733,0.1335662180211651
기존,고밀도,고속,9,node[196],19,9733,0.1952121648001644
기존,고밀도,고속,9,node[166],48,9733,0.49316757423199425
기존,고밀도,고속,9,node[337],14,9733,0.14384054248433165
기존,고밀도,고속,9,node[152],34,9733,0.3493270317476626
기존,고밀도,고속,9,node[42],18,9733,0.18493784033699784
기존,고밀도,고속,9,node[357],262,9733,2.691873009349635
기존,고밀도,고속,9,node[350],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[293],44,9733,0.4520702763793281
기존,고밀도,고속,9,node[13],10,9733,0.10274324463166547
기존,고밀도,고속,9,node[281],45,9733,0.4623446008424946
기존,고밀도,고속,9,node[112],47,9733,0.4828932497688277
기존,고밀도,고속,9,node[181],30,9733,0.3082297338949964
기존,고밀도,고속,9,node[405],89,9733,0.9144148772218227
기존,고밀도,고속,9,node[303],16,9733,0.16438919141066474
기존,고밀도,고속,9,node[4],66,9733,0.6781054145689921
기존,고밀도,고속,9,node[308],20,9733,0.20548648926333093
기존,고밀도,고속,9,node[135],24,9733,0.24658378711599713
기존,고밀도,고속,9,node[60],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[248],23,9733,0.2363094626528306
기존,고밀도,고속,9,node[79],26,9733,0.2671324360423302
기존,고밀도,고속,9,node[309],12,9733,0.12329189355799856
기존,고밀도,고속,9,node[278],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[187],72,9733,0.7397513613479914
기존,고밀도,고속,9,node[287],30,9733,0.3082297338949964
기존,고밀도,고속,9,node[268],11,9733,0.11301756909483203
기존,고밀도,고속,9,node[276],16,9733,0.16438919141066474
기존,고밀도,고속,9,node[44],19,9733,0.1952121648001644
기존,고밀도,고속,9,node[32],19,9733,0.1952121648001644
기존,고밀도,고속,9,node[204],7,9733,0.07192027124216582
기존,고밀도,고속,9,node[340],83,9733,0.8527689304428234
기존,고밀도,고속,9,node[35],8,9733,0.08219459570533237
기존,고밀도,고속,9,node[222],44,9733,0.4520702763793281
기존,고밀도,고속,9,node[271],39,9733,0.4006986540634953
기존,고밀도,고속,9,node[193],218,9733,2.239802732970307
기존,고밀도,고속,9,node[89],61,9733,0.6267337922531593
기존,고밀도,고속,9,node[234],15,9733,0.1541148669474982
기존,고밀도,고속,9,node[124],19,9733,0.1952121648001644
기존,고밀도,고속,9,node[88],29,9733,0.29795540943182985
기존,고밀도,고속,9,node[84],44,9733,0.4520702763793281
기존,고밀도,고속,9,node[40],6,9733,0.06164594677899928
기존,고밀도,고속,9,node[192],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[252],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[360],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[64],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[6],46,9733,0.4726189253056612
