Mode,Density,Speed,Node_ID,Collided_Node,Collision_Count,Transmit_Count,Collision_Rate
기존,고밀도,고속,9,node[63],42,9733,0.43152162745299494
기존,고밀도,고속,9,node[331],63,9733,0.6472824411794925
기존,고밀도,고속,9,node[49],66,9733,0.6781054145689921
기존,고밀도,고속,9,node[282],69,9733,0.7089283879584917
기존,고밀도,고속,9,node[7],71,9733,0.7294770368848248
기존,고밀도,고속,9,node[134],40,9733,0.41097297852666187
기존,고밀도,고속,9,node[302],117,9733,1.202095962190486
기존,고밀도,고속,9,node[384],7,9733,0.07192027124216582
기존,고밀도,고속,9,node[129],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[152],36,9733,0.3698756806739957
기존,고밀도,고속,9,node[293],79,9733,0.8116716325901573
기존,고밀도,고속,9,node[350],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[271],52,9733,0.5342648720846604
기존,고밀도,고속,9,node[207],7,9733,0.07192027124216582
기존,고밀도,고속,9,node[204],21,9733,0.21576081372649747
기존,고밀도,고속,9,node[357],263,9733,2.702147333812802
기존,고밀도,고속,9,node[281],47,9733,0.4828932497688277
기존,고밀도,고속,9,node[13],10,9733,0.10274324463166547
기존,고밀도,고속,9,node[16],37,9733,0.38015000513716224
기존,고밀도,고속,9,node[175],4,9733,0.041097297852666186
기존,고밀도,고속,9,node[195],9,9733,0.09246892016849892
기존,고밀도,고속,9,node[306],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[198],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[405],123,9733,1.2637419089694852
기존,고밀도,고속,9,node[112],47,9733,0.4828932497688277
기존,고밀도,고속,9,node[181],36,9733,0.3698756806739957
기존,고밀도,고속,9,node[303],31,9733,0.3185040583581629
기존,고밀도,고속,9,node[4],87,9733,0.8938662282954896
기존,고밀도,고속,9,node[308],30,9733,0.3082297338949964
기존,고밀도,고속,9,node[60],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[68],80,9733,0.8219459570533237
기존,고밀도,고속,9,node[79],39,9733,0.4006986540634953
기존,고밀도,고속,9,node[309],23,9733,0.2363094626528306
기존,고밀도,고속,9,node[278],18,9733,0.18493784033699784
기존,고밀도,고속,9,node[187],76,9733,0.7808486592006576
기존,고밀도,고속,9,node[287],46,9733,0.4726189253056612
기존,고밀도,고속,9,node[193],238,9733,2.4452892222336384
기존,고밀도,고속,9,node[88],45,9733,0.4623446008424946
기존,고밀도,고속,9,node[377],24,9733,0.24658378711599713
기존,고밀도,고속,9,node[170],6,9733,0.06164594677899928
기존,고밀도,고속,9,node[398],12,9733,0.12329189355799856
기존,고밀도,고속,9,node[276],38,9733,0.3904243296003288
기존,고밀도,고속,9,node[138],16,9733,0.16438919141066474
기존,고밀도,고속,9,node[32],36,9733,0.3698756806739957
기존,고밀도,고속,9,node[268],12,9733,0.12329189355799856
기존,고밀도,고속,9,node[44],33,9733,0.33905270728449605
기존,고밀도,고속,9,node[232],9,9733,0.09246892016849892
기존,고밀도,고속,9,node[6],58,9733,0.5959108188636597
기존,고밀도,고속,9,node[340],94,9733,0.9657864995376554
기존,고밀도,고속,9,node[35],24,9733,0.24658378711599713
기존,고밀도,고속,9,node[222],59,9733,0.6061851433268263
기존,고밀도,고속,9,node[234],35,9733,0.3596013562108291
기존,고밀도,고속,9,node[124],19,9733,0.1952121648001644
기존,고밀도,고속,9,node[40],6,9733,0.06164594677899928
기존,고밀도,고속,9,node[192],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[252],6,9733,0.06164594677899928
기존,고밀도,고속,9,node[360],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[379],74,9733,0.7603000102743245
기존,고밀도,고속,9,node[64],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[141],16,9733,0.16438919141066474
기존,고밀도,고속,9,node[316],13,9733,0.1335662180211651
기존,고밀도,고속,9,node[23],40,9733,0.41097297852666187
기존,고밀도,고속,9,node[242],12,9733,0.12329189355799856
기존,고밀도,고속,9,node[212],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[73],143,9733,1.4692283982328163
기존,고밀도,고속,9,node[19],7,9733,0.07192027124216582
기존,고밀도,고속,9,node[224],10,9733,0.10274324463166547
기존,고밀도,고속,9,node[137],39,9733,0.4006986540634953
기존,고밀도,고속,9,node[12],13,9733,0.1335662180211651
기존,고밀도,고속,9,node[95],81,9733,0.8322202815164903
기존,고밀도,고속,9,node[70],21,9733,0.21576081372649747
기존,고밀도,고속,9,node[256],19,9733,0.1952121648001644
기존,고밀도,고속,9,node[237],26,9733,0.2671324360423302
기존,고밀도,고속,9,node[419],12,9733,0.12329189355799856
기존,고밀도,고속,9,node[106],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[128],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[97],18,9733,0.18493784033699784
기존,고밀도,고속,9,node[150],64,9733,0.657556765642659
기존,고밀도,고속,9,node[101],30,9733,0.3082297338949964
기존,고밀도,고속,9,node[33],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[401],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[145],15,9733,0.1541148669474982
기존,고밀도,고속,9,node[367],7,9733,0.07192027124216582
기존,고밀도,고속,9,node[205],4,9733,0.041097297852666186
기존,고밀도,고속,9,node[117],7,9733,0.07192027124216582
기존,고밀도,고속,9,node[275],8,9733,0.08219459570533237
기존,고밀도,고속,9,node[156],3,9733,0.03082297338949964
기존,고밀도,고속,9,node[131],11,9733,0.11301756909483203
기존,고밀도,고속,9,node[29],4,9733,0.041097297852666186
기존,고밀도,고속,9,node[110],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[183],14,9733,0.14384054248433165
기존,고밀도,고속,9,node[229],6,9733,0.06164594677899928
기존,고밀도,고속,9,node[270],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[154],8,9733,0.08219459570533237
기존,고밀도,고속,9,node[258],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[58],13,9733,0.1335662180211651
기존,고밀도,고속,9,node[355],56,9733,0.5753621699373266
기존,고밀도,고속,9,node[59],28,9733,0.2876810849686633
기존,고밀도,고속,9,node[126],6,9733,0.06164594677899928
기존,고밀도,고속,9,node[8],4,9733,0.041097297852666186
기존,고밀도,고속,9,node[389],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[2],14,9733,0.14384054248433165
기존,고밀도,고속,9,node[22],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[264],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[239],4,9733,0.041097297852666186
기존,고밀도,고속,9,node[406],2,9733,0.020548648926333093
기존,고밀도,고속,9,node[216],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[347],1,9733,0.010274324463166546
기존,고밀도,고속,9,node[420],32,9733,0.3287783828213295
기존,고밀도,고속,9,node[369],5,9733,0.051371622315832734
기존,고밀도,고속,9,node[410],15,9733,0.1541148669474982
