Node,Protocol,Destination,StartTime,EndTime,Duration
N0,Legacy,10.0.0.9,31.44923898243,31.449466248259,0.00022726582900034487
N0,Legacy,10.0.0.9,31.449466248259,31.44962092199,0.00015467373100008786
N0,Legacy,10.0.0.9,31.44962092199,31.450064652087,0.00044373009700038324
N0,Legacy,10.0.0.9,31.450064652087,31.450309886169,0.00024523408199783603
N0,Legacy,10.0.0.9,31.450309886169,31.453206025808,0.002896139639002371
N0,Legacy,10.0.0.9,31.453206025808,31.453934332746,0.0007283069380008556
N0,Legacy,10.0.0.9,31.453934332746,31.454248556645,0.00031422389899660175
N0,Legacy,10.0.0.9,31.454248556645,31.455255027667,0.0010064710220021311
N0,Legacy,10.0.0.9,31.455255027667,31.455691153357,0.00043612569000117674
N0,Legacy,10.0.0.9,31.455691153357,31.45600173704,0.0003105836829995212
N0,Legacy,10.0.0.9,31.45600173704,31.456202924666,0.00020118762600063178
N0,Legacy,10.0.0.9,31.456202924666,31.456469084057,0.00026615939099983166
N0,Legacy,10.0.0.9,31.456469084057,31.456670372732,0.00020128867499735748
N0,Legacy,10.0.0.9,31.456670372732,31.457027559858,0.00035718712599930313
N0,Legacy,10.0.0.9,31.457027559858,31.457307258321,0.00027969846300024415
N0,Legacy,10.0.0.9,31.457307258321,31.457737853249,0.00043059492800168186
N0,Legacy,10.0.0.9,31.457737853249,31.457795826042,5.797279299812885e-05
N0,Legacy,10.0.0.9,31.457795826042,31.458813709246,0.0010178832040033114
N0,Legacy,10.0.0.9,31.458813709246,31.458935490226,0.00012178097999893112
N0,Legacy,10.0.0.9,31.458935490226,31.460378579173,0.0014430889469991826
N0,Legacy,10.0.0.9,31.460378579173,31.460565908857,0.00018732968399959304
N0,Legacy,10.0.0.9,31.460565908857,31.460884662841,0.00031875398400060817
N0,Legacy,10.0.0.9,31.460884662841,31.461085953949,0.00020129110799871341
N0,Legacy,10.0.0.9,31.461085953949,31.462170997093,0.0010850431440019292
N0,Legacy,10.0.0.9,31.462170997093,31.463755216578,0.0015842194850002045
N0,Legacy,10.0.0.9,31.463755216578,31.469608926954,0.0058537103759981335
N0,Legacy,10.0.0.9,31.469608926954,31.470330545694,0.0007216187400018725
N0,Legacy,10.0.0.9,31.470330545694,34.283945536296,2.8136149906020016
N0,Legacy,10.0.0.9,34.283945536296,34.403023834905,0.1190782986089971
N0,Legacy,10.0.0.9,34.403023834905,34.403316275836,0.0002924409309983389
N0,Legacy,10.0.0.9,34.403316275836,34.403822544661,0.0005062688249992675
N0,Legacy,10.0.0.9,34.403822544661,34.404102133811,0.00027958915000425577
N0,Legacy,10.0.0.9,34.404102133811,34.404153363908,5.123009700014336e-05
N0,Legacy,10.0.0.9,34.404153363908,34.404545278704,0.0003919147959976499
N0,Legacy,10.0.0.9,34.404545278704,34.40474640958,0.00020113087600037716
N0,Legacy,10.0.0.9,34.40474640958,34.404863935452,0.00011752587199964637
N0,Legacy,10.0.0.9,34.404863935452,34.404876032841,1.209738900342927e-05
N0,Legacy,10.0.0.9,34.404876032841,34.405351488004,0.0004754551629986281
N0,Legacy,10.0.0.9,34.405351488004,34.405488245281,0.00013675727699791196
N0,Legacy,10.0.0.9,34.405488245281,34.405662809203,0.0001745639220018802
N0,Legacy,10.0.0.9,34.405662809203,34.405994920786,0.00033211158299906174
N0,Legacy,10.0.0.9,34.405994920786,34.406235588314,0.0002406675279971182
N0,Legacy,10.0.0.9,34.406235588314,34.406325445849,8.985753500212468e-05
N0,Legacy,10.0.0.9,34.406325445849,34.406513702709,0.00018825685999956931
N0,Legacy,10.0.0.9,34.406513702709,34.406675953805,0.00016225109600043197
