Node,Time,Legacy,Proposed
N18,81,0.0,2.0
N18,82,2.0,0.0
N18,83,11.0,1.3
N18,84,0.0,0.0
N18,85,0.0,16.0
N18,86,3.6,0.0
N18,87,11.0,4.0
N18,88,2.5555555555555554,0.0
N18,89,0.0,27.2
N18,90,0.0,46.0
N18,91,0.0,0.0
N18,92,0.0,0.0
N18,93,4.0,3.5
N18,94,0.0,45.0
N18,95,1.4705882352941178,3.6666666666666665
N18,96,0.0,0.0
N18,97,0.0,0.0
N18,98,2.6666666666666665,4.714285714285714
N18,99,16.0,2.8
N18,100,0.0,0.0
N24,30,0.0,10.0
N24,31,1.3333333333333333,0.0
N24,32,0.0,4.0
N24,33,0.0,7.6
N24,34,0.0,0.0
N24,35,0.0,36.0
N24,36,4.0,7.0
N24,37,0.0,0.0
N24,38,0.0,0.0
N24,39,0.0,0.6666666666666666
N24,40,0.0,3.0
N24,41,4.0,0.0
N24,42,0.0,0.0
N24,43,0.0,5.625
N24,44,0.0,9.75
N24,45,1.875,7.5
N24,46,3.5454545454545454,12.5
N24,47,22.0,1.5
N24,48,11.0,5.333333333333333
N24,49,0.0,0.0
N24,50,0.0,16.0
N24,51,4.0,10.8
N24,52,43.0,3.857142857142857
N24,53,0.0,0.0
N24,54,0.0,3.4
N24,55,0.0,0.0
N24,56,5.666666666666667,4.666666666666667
N24,57,2.5,15.8
N24,58,0.0,0.0
N24,59,1.3333333333333333,15.0
N24,60,0.0,14.6
N24,61,0.0,4.714285714285714
N24,62,0.0,0.0
N24,63,0.0,0.4375
N24,64,0.0,0.0
N24,65,0.0,0.0
N24,66,0.0,5.0
N24,67,0.0,1.8
N24,68,6.545454545454546,0.0
N24,69,4.944444444444445,0.0
N24,70,29.8,2.0
N24,71,0.0,0.0
N24,72,0.6923076923076923,16.166666666666668
N24,73,8.0,0.0
N24,74,24.333333333333332,117.0
N24,75,0.0,8.777777777777779
N24,76,8.333333333333334,2.870967741935484
N24,77,1.7692307692307692,7.0
N24,78,10.166666666666666,0.0
N24,79,8.125,0.0
N24,80,17.8,6.75
N24,81,0.0,6.666666666666667
N24,82,0.4,0.0
N24,83,0.0,0.0
N24,84,2.0,0.0
N24,85,0.0,9.0
N24,86,8.2,0.0
N24,87,37.5,11.25
N24,88,10.0,12.11111111111111
N24,89,2.1875,87.5
N24,90,0.0,0.0
N24,91,1.8235294117647058,1.2352941176470589
N24,92,13.5,3.5
N24,93,6.714285714285714,0.0
N24,94,0.0,10.3
N24,95,1.4545454545454546,0.0
N24,96,0.0,0.0
N24,97,0.0,0.5
N24,98,0.0,0.0
N24,99,3.7777777777777777,0.875
N24,100,0.0,0.0
N29,30,0.0,0.0
N29,31,53.0,12.0
N29,32,16.666666666666668,0.0
N29,33,0.0,12.0
N29,34,0.0,2.5
N29,35,7.777777777777778,0.0
N29,36,0.0,4.25
N29,37,1.6,17.333333333333332
N29,38,11.0,0.0
N29,39,1.3461538461538463,0.0
N29,40,0.0,0.0
N29,41,0.0,2.0
N29,42,4.0,4.0
N29,43,0.0,0.0
N29,44,15.0,16.0
N29,45,5.25,0.0
N29,46,18.166666666666668,2.6
N29,47,0.0,0.0
N29,48,0.0,3.3333333333333335
N29,49,4.0,25.5
N29,50,18.0,0.0
N29,51,11.0,0.625
N29,52,0.0,14.333333333333334
N29,53,6.0,0.4074074074074074
N29,54,15.0,0.0
N29,55,1.6,8.333333333333334
N29,56,40.5,0.0
N29,57,1.75,12.833333333333334
N29,58,0.0,0.0
N29,59,0.0,0.0
N29,60,0.0,0.0
N29,61,0.0,0.0
N29,62,1.2222222222222223,1.1666666666666667
N29,63,0.0,0.0
N29,64,0.0,0.0
N29,65,0.0,0.0
N29,66,0.0,0.0
N29,67,0.0,0.0
N29,68,0.0,0.0
N29,69,0.0,0.0
N29,70,0.0,1.3333333333333333
N29,71,4.333333333333333,0.0
N29,72,0.0,0.0
N29,73,0.0,0.0
N29,74,0.0,3.5
N29,75,0.0,0.0
N29,76,0.0,0.0
N29,77,2.0,3.0
N29,78,0.0,2.0
N29,79,0.0,20.0
N29,80,0.0,22.0
N29,81,0.0,0.0
N29,82,2.0,0.0
N29,83,0.0,0.0
N29,84,0.0,0.0
N29,85,9.0,4.0
N29,86,0.0,0.0
N29,87,0.0,0.0
N29,88,0.0,0.0
N29,89,0.0,0.0
N29,90,5.0,0.0
N29,91,1.25,0.0
N29,92,0.0,0.0
N29,93,0.0,4.0
N29,94,0.0,0.0
N29,95,0.0,1.6666666666666667
N29,96,40.5,5.4
N29,97,0.0,0.0
N29,98,0.0,0.0
N29,99,0.0,0.0
N29,100,0.0,0.0
