destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.31.14, prefixLength = 32, nextHop = 10.0.31.14, metric = 1, interface = wlan0
destination = 10.0.5.184, prefixLength = 32, nextHop = 10.0.5.184, metric = 1, interface = wlan0
destination = 10.0.5.184, prefixLength = 32, nextHop = 10.0.5.184, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.5.184, metric = 6, interface = wlan0
destination = 10.0.5.184, prefixLength = 32, nextHop = 10.0.5.184, metric = 1, interface = wlan0
destination = 10.0.5.184, prefixLength = 32, nextHop = 10.0.5.184, metric = 1, interface = wlan0
destination = 10.0.18.237, prefixLength = 32, nextHop = 10.0.18.237, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.18.237, metric = 4, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.75, metric = 5, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.75, metric = 5, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.75, metric = 5, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.75, metric = 5, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.75, metric = 5, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.75, metric = 5, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.3.75, metric = 5, interface = wlan0
destination = 10.0.3.75, prefixLength = 32, nextHop = 10.0.3.75, metric = 1, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.29.112, prefixLength = 32, nextHop = 10.0.29.112, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.29.112, metric = 6, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.45.225, prefixLength = 32, nextHop = 10.0.45.225, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.45.225, metric = 7, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.33.123, metric = 8, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.33.123, metric = 8, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.33.123, metric = 8, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.33.123, metric = 8, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.33.123, prefixLength = 32, nextHop = 10.0.33.123, metric = 1, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.43.254, metric = 9, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.0.9, prefixLength = 32, nextHop = 10.0.43.254, metric = 9, interface = wlan0
destination = 10.0.43.254, prefixLength = 32, nextHop = 10.0.43.254, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.17.10, prefixLength = 32, nextHop = 10.0.17.10, metric = 1, interface = wlan0
destination = 10.0.41.145, prefixLength = 32, nextHop = 10.0.41.145, metric = 1, interface = wlan0
destination = 10.0.41.145, prefixLength = 32, nextHop = 10.0.41.145, metric = 1, interface = wlan0
