Time: 50.480154255392, Node: node[33], myRouteTimeout: 1.32431471768, deletePeriod: 2.648629435359
Time: 50.481978620708, Node: node[33], myRouteTimeout: 1.323019063305, deletePeriod: 2.646038126609
Time: 50.483428999456, Node: node[125], myRouteTimeout: 3.268095725132, deletePeriod: 6.536191450265
Time: 50.484952920164, Node: node[61], myRouteTimeout: 3.050307264703, deletePeriod: 6.100614529406
Time: 50.486876198443, Node: node[74], myRouteTimeout: 1.28786571658, deletePeriod: 2.575731433159
Time: 50.488937502963, Node: node[97], myRouteTimeout: 4.556446946372, deletePeriod: 9.112893892744
Time: 50.489521786547, Node: node[69], myRouteTimeout: 3.083846016448, deletePeriod: 6.167692032897
Time: 50.49116942663, Node: node[74], myRouteTimeout: 1.286270930903, deletePeriod: 2.572541861806
Time: 50.492349714228, Node: node[24], myRouteTimeout: 1.317943675381, deletePeriod: 2.635887350763
Time: 50.513495805828, Node: node[61], myRouteTimeout: 3.069695811724, deletePeriod: 6.139391623447
Time: 50.513738370712, Node: node[61], myRouteTimeout: 3.060229467546, deletePeriod: 6.120458935091
Time: 50.515175587949, Node: node[22], myRouteTimeout: 3.117110014546, deletePeriod: 6.234220029091
Time: 50.516244629649, Node: node[24], myRouteTimeout: 1.316783033512, deletePeriod: 2.633566067025
Time: 50.516553490699, Node: node[24], myRouteTimeout: 1.315686375163, deletePeriod: 2.631372750326
Time: 50.520027667734, Node: node[77], myRouteTimeout: 2.867582440717, deletePeriod: 5.735164881433
Time: 50.529580845998, Node: node[134], myRouteTimeout: 3.083638217052, deletePeriod: 6.167276434103
Time: 50.535211937941, Node: node[77], myRouteTimeout: 2.851108467155, deletePeriod: 5.70221693431
Time: 50.538554647566, Node: node[173], myRouteTimeout: 2.90264661465, deletePeriod: 5.8052932293
Time: 50.546739958252, Node: node[22], myRouteTimeout: 3.107032582935, deletePeriod: 6.21406516587
Time: 50.54826904282, Node: node[22], myRouteTimeout: 3.097957323722, deletePeriod: 6.195914647445
Time: 50.54855105225, Node: node[22], myRouteTimeout: 3.08902938501, deletePeriod: 6.17805877002
Time: 50.550053542477, Node: node[159], myRouteTimeout: 2.08653231629, deletePeriod: 4.17306463258
Time: 50.551646608902, Node: node[159], myRouteTimeout: 2.485138235346, deletePeriod: 4.970276470692
Time: 50.554648080558, Node: node[22], myRouteTimeout: 3.55607086944, deletePeriod: 7.11214173888
Time: 50.555235879972, Node: node[159], myRouteTimeout: 2.071150416021, deletePeriod: 4.142300832042
Time: 50.56077615135, Node: node[22], myRouteTimeout: 3.545066022657, deletePeriod: 7.090132045315
Time: 50.574555161289, Node: node[77], myRouteTimeout: 2.784947755582, deletePeriod: 5.569895511164
Time: 51.133668792361, Node: node[93], myRouteTimeout: 2.891013139312, deletePeriod: 5.782026278623
Time: 51.468881337135, Node: node[96], myRouteTimeout: 2.648268051949, deletePeriod: 5.296536103898
Time: 51.470752208475, Node: node[61], myRouteTimeout: 3.209916852756, deletePeriod: 6.419833705512
Time: 51.471853783896, Node: node[24], myRouteTimeout: 1.294956397528, deletePeriod: 2.589912795057
Time: 51.559685294376, Node: node[131], myRouteTimeout: 2.975488261149, deletePeriod: 5.950976522297
Time: 51.560338217807, Node: node[134], myRouteTimeout: 2.981154396906, deletePeriod: 5.962308793812
Time: 51.562593731518, Node: node[138], myRouteTimeout: 1.8692503427, deletePeriod: 3.738500685401
Time: 51.562901728999, Node: node[131], myRouteTimeout: 3.392520147189, deletePeriod: 6.785040294379
Time: 51.567490172019, Node: node[77], myRouteTimeout: 2.751426853566, deletePeriod: 5.502853707132
Time: 52.334749947036, Node: node[8], myRouteTimeout: 2.97749869314, deletePeriod: 5.95499738628
Time: 52.368615544698, Node: node[21], myRouteTimeout: 2.970513430273, deletePeriod: 5.941026860545
Time: 52.374263134839, Node: node[18], myRouteTimeout: 2.732123965654, deletePeriod: 5.464247931309
Time: 52.375089804839, Node: node[18], myRouteTimeout: 2.726964713523, deletePeriod: 5.453929427046
Time: 52.376036071615, Node: node[100], myRouteTimeout: 1.663004032733, deletePeriod: 3.326008065466
Time: 52.377687755062, Node: node[100], myRouteTimeout: 2.087020999813, deletePeriod: 4.174041999627
Time: 52.378637475324, Node: node[52], myRouteTimeout: 3.483685345516, deletePeriod: 6.967370691032
Time: 52.379999561971, Node: node[52], myRouteTimeout: 3.013042339661, deletePeriod: 6.026084679322
Time: 52.380333438859, Node: node[22], myRouteTimeout: 3.116626088773, deletePeriod: 6.233252177546
Time: 52.382801687905, Node: node[24], myRouteTimeout: 1.277358216208, deletePeriod: 2.554716432417
Time: 52.396487821161, Node: node[22], myRouteTimeout: 3.069295456382, deletePeriod: 6.138590912763
Time: 52.402240291337, Node: node[24], myRouteTimeout: 1.275859050042, deletePeriod: 2.551718100083
Time: 52.796151137965, Node: node[142], myRouteTimeout: 1.859669466551, deletePeriod: 3.719338933102
Time: 52.800593732621, Node: node[99], myRouteTimeout: 3.93410577093, deletePeriod: 7.868211541861
Time: 52.80438173104, Node: node[37], myRouteTimeout: 2.806543922129, deletePeriod: 5.613087844257
Time: 52.807940782254, Node: node[174], myRouteTimeout: 3.297002988994, deletePeriod: 6.594005977988
Time: 52.811010997888, Node: node[92], myRouteTimeout: 3.002668538982, deletePeriod: 6.005337077965
Time: 52.812763086926, Node: node[117], myRouteTimeout: 2.820670063855, deletePeriod: 5.641340127711
Time: 52.814381878928, Node: node[78], myRouteTimeout: 2.914763558874, deletePeriod: 5.829527117748
Time: 52.817450013091, Node: rsu[0], myRouteTimeout: 0.966877485157, deletePeriod: 1.933754970315
Time: 52.893778629142, Node: node[151], myRouteTimeout: 2.736676095162, deletePeriod: 5.473352190324
Time: 52.894308049189, Node: node[22], myRouteTimeout: 3.049405049051, deletePeriod: 6.098810098101
Time: 52.896665893521, Node: node[22], myRouteTimeout: 3.042882792637, deletePeriod: 6.085765585274
Time: 52.897285863704, Node: node[69], myRouteTimeout: 2.828415485995, deletePeriod: 5.656830971989
Time: 52.90187021404, Node: node[147], myRouteTimeout: 2.677455197644, deletePeriod: 5.354910395287
Time: 52.907144900595, Node: node[151], myRouteTimeout: 2.709859719221, deletePeriod: 5.419719438441
Time: 52.908760114312, Node: node[169], myRouteTimeout: 1.000705098862, deletePeriod: 2.001410197724
Time: 52.912815966984, Node: node[169], myRouteTimeout: 1.002023415834, deletePeriod: 2.004046831669
Time: 52.913436066295, Node: node[143], myRouteTimeout: 4.25277350669, deletePeriod: 8.50554701338
Time: 52.913692665344, Node: node[169], myRouteTimeout: 1.004612987988, deletePeriod: 2.009225975977
Time: 52.914078031781, Node: node[143], myRouteTimeout: 4.255335703369, deletePeriod: 8.510671406737
Time: 52.914987174196, Node: node[51], myRouteTimeout: 2.686826112111, deletePeriod: 5.373652224223
Time: 52.916643879507, Node: node[51], myRouteTimeout: 2.682805761688, deletePeriod: 5.365611523376
Time: 52.917518105021, Node: node[143], myRouteTimeout: 2.678832068517, deletePeriod: 5.357664137034
Time: 52.92031646542, Node: node[51], myRouteTimeout: 2.674904225083, deletePeriod: 5.349808450166
Time: 52.9263827379, Node: node[85], myRouteTimeout: 3.007085598736, deletePeriod: 6.014171197471
Time: 52.939174761307, Node: node[125], myRouteTimeout: 2.384419471542, deletePeriod: 4.768838943083
Time: 52.944011022381, Node: node[61], myRouteTimeout: 3.185299917902, deletePeriod: 6.370599835804
Time: 52.949041970007, Node: node[69], myRouteTimeout: 2.8033072214, deletePeriod: 5.6066144428
Time: 52.951430893706, Node: node[85], myRouteTimeout: 2.988938310358, deletePeriod: 5.977876620716
Time: 52.953059115291, Node: node[21], myRouteTimeout: 2.87915159631, deletePeriod: 5.75830319262
Time: 52.953850917113, Node: node[125], myRouteTimeout: 2.359337784938, deletePeriod: 4.718675569875
Time: 52.955619781766, Node: node[147], myRouteTimeout: 2.972093813528, deletePeriod: 5.944187627055
Time: 52.955904503833, Node: node[61], myRouteTimeout: 2.826621358775, deletePeriod: 5.65324271755
Time: 52.95632404648, Node: node[18], myRouteTimeout: 2.631498382763, deletePeriod: 5.262996765526
Time: 52.95893911169, Node: node[85], myRouteTimeout: 2.964224263923, deletePeriod: 5.928448527846
Time: 52.960026145713, Node: node[69], myRouteTimeout: 2.768821169148, deletePeriod: 5.537642338295
Time: 52.961232585891, Node: node[151], myRouteTimeout: 2.655261104336, deletePeriod: 5.310522208673
Time: 52.963773487452, Node: node[125], myRouteTimeout: 2.32908496208, deletePeriod: 4.65816992416
Time: 52.965340644982, Node: node[147], myRouteTimeout: 2.945160893253, deletePeriod: 5.890321786505
