density	speed	localCbr
100	10	29.152627
100	10	19.811164
100	10	31.868416
100	10	21.983583
100	10	9.80101
100	10	10.138385
100	10	38.311812
100	10	34.769224
100	10	29.782385
100	10	27.255388
100	10	6.224336
100	10	12.15301
100	10	17.130061
100	10	27.236016
100	10	4.112297
100	10	5.933004
100	10	4.436673
100	10	6.173672
100	10	1.736997
100	10	3.20114
100	10	5.96002
100	10	33.38288
100	10	26.006093
100	10	26.549455
100	10	3.044717
100	10	18.474624
100	10	8.937442
100	10	32.543038
100	10	26.822306
100	10	18.947042
100	10	62.563705
100	10	35.019107
100	10	35.99883
100	10	37.095632
100	10	10.358947
100	10	3.769462
100	10	2.947549
100	10	4.960168
100	10	2.834177
100	10	3.908074
100	10	45.636203
100	10	43.348461
100	10	34.676097
100	10	39.716703
100	10	22.321683
100	10	34.194109
100	10	34.714456
100	10	33.120684
100	10	21.301623
100	10	17.697213
100	10	43.6197
100	10	50.410516
100	10	31.595401
100	10	58.547252
100	10	16.390833
100	10	33.116784
100	10	3.234716
100	10	3.077125
100	10	3.740656
100	10	7.285962
100	10	2.355532
100	10	0.0
100	10	0.0
100	10	24.458039
100	10	19.96824
100	10	26.914645
100	10	34.722879
100	10	13.863178
100	10	14.009588
100	10	11.230027
100	10	8.126473
100	10	17.393676
100	10	31.319059
100	10	31.829177
100	10	14.566299
100	10	26.870606
100	10	15.916016
100	10	26.705407
100	10	15.394971
100	10	31.28668
100	10	24.632471
100	10	38.083725
100	10	36.74845
100	10	5.454346
100	10	19.297724
100	10	31.040402
100	10	26.500849
100	10	18.584007
100	10	42.35583
100	10	32.04585
100	10	32.684222
100	10	34.712585
100	10	42.108633
100	10	11.019524
100	10	37.579787
100	10	27.465743
100	10	43.938845
100	10	27.326291
100	10	43.953097
100	10	37.851088
100	10	30.573124
100	10	34.872219
100	10	34.910361
100	10	43.37139
100	10	44.816772
100	10	50.360001
100	10	49.053931
100	10	43.149479
100	10	29.764376
100	10	17.0019
100	10	18.546887
100	10	26.625613
100	10	42.577936
100	10	19.317832
100	10	49.626167
100	10	46.83923
100	10	28.231966
100	10	34.856881
100	10	39.919582
100	10	18.882839
100	10	9.555623
100	10	27.852062
100	10	42.285327
100	10	4.237454
100	10	25.508501
100	10	17.65161
100	10	22.390425
100	10	17.577832
100	10	62.230461
100	10	0.87689
100	10	10.492051
100	10	29.322681
100	10	19.566072
100	10	14.923547
100	10	11.433996
100	10	7.575598
100	10	6.905514
100	10	6.123704
100	10	30.312307
100	10	21.06872
100	10	16.421913
100	10	32.501255
100	10	11.577707
100	10	0.0
100	10	7.917867
100	10	16.055889
100	10	7.021127
100	10	15.413634
100	10	19.559416
100	10	26.080737
100	10	8.150938
100	10	30.069991
100	10	30.294
100	10	15.720049
100	10	17.246443
100	10	0.0
100	10	51.247733
100	10	25.800132
100	10	5.4179
100	10	17.723476
100	10	30.27132
100	10	31.071817
100	10	45.52702
100	10	33.467439
100	10	28.589465
100	10	27.708705
100	10	18.894881
100	10	14.635152
100	10	6.38573
100	10	3.517071
100	10	22.069495
100	10	15.895479
100	10	18.53593
100	10	14.866932
100	10	9.879851
100	10	21.454125
100	10	21.788454
100	10	7.8736
100	10	18.135322
100	10	32.21792
100	10	7.070417
100	10	17.909435
100	10	7.688883
100	10	11.794217
100	10	16.429306
100	10	8.113928
100	10	8.516138
100	10	3.896567
100	10	16.598393
100	10	16.056241
100	10	11.404306
100	10	8.9722
100	10	14.092084
100	10	0.0
100	10	6.687804
100	10	16.600162
100	10	22.071519
100	10	3.214695
100	10	6.197621
100	10	5.205698
100	10	2.463974
100	10	5.882867
100	10	2.748943
100	10	10.956029
100	10	4.483511
100	10	0.0
100	10	6.219609
100	10	7.905536
100	10	7.74011
100	10	16.904741
100	10	9.918794
100	10	3.549359
100	10	4.230057
100	10	8.260525
100	10	1.166905
100	10	4.945742
100	10	0.559083
100	10	15.8533
100	10	11.655786
100	10	19.787496
100	10	24.263759
100	10	11.803186
100	10	16.944682
100	10	8.14444
100	10	1.853284
100	10	17.751711
100	10	4.339909
100	10	27.66407
100	10	28.212924
100	10	25.667857
100	10	4.594051
100	10	11.49177
100	10	4.318052
100	10	17.414665
100	10	8.110331
100	10	12.308134
100	10	15.367753
100	10	25.847298
100	10	27.206355
100	10	36.851373
100	10	44.001605
100	10	26.237281
100	10	43.430714
100	10	36.054845
100	10	36.288783
100	10	40.637106
100	10	25.602952
100	10	36.646131
100	10	45.798088
100	10	52.534536
100	10	48.010213
100	10	52.76493
100	10	44.596576
100	10	32.455915
100	10	27.413523
100	10	28.162615
100	10	25.838573
100	10	32.544967
100	10	24.766122
100	10	31.041016
100	10	7.641346
100	10	34.104896
100	10	25.289771
100	10	27.290211
100	10	8.84598
100	10	18.405468
100	10	18.47026
100	10	21.204169
100	10	10.409666
100	10	12.566117
100	10	4.381176
100	10	5.629076
100	10	11.253247
100	10	12.441923
100	10	9.389606
100	10	9.641394
100	10	1.145902
100	10	16.770463
100	10	5.260848
100	10	11.314231
100	10	13.864675
100	10	9.355661
100	10	17.806468
100	10	14.933591
100	10	17.824631
100	10	20.247285
100	10	17.513637
100	10	22.975453
100	10	18.501513
100	10	30.790449
100	10	10.513902
100	10	4.80907
100	10	56.289486
100	10	33.581178
100	10	35.470379
100	10	28.095353
100	10	12.902118
100	10	21.598487
100	10	26.799078
100	10	32.822395
100	10	22.750804
100	10	8.686534
100	10	22.519188
100	10	3.380648
100	10	21.575561
100	10	26.505308
100	10	4.374836
100	10	20.542348
100	10	17.614623
100	10	31.570522
100	10	18.568478
100	10	33.8407
100	10	24.176251
100	10	23.56707
100	10	9.670972
100	10	21.93625
100	10	23.852453
100	10	24.857929
100	10	25.665727
100	10	14.564283
100	10	23.559607
100	10	23.800905
100	10	18.261796
100	10	8.657519
100	10	8.950309
100	10	9.830452
100	10	8.292091
100	10	29.758789
100	10	32.511611
100	10	32.355607
100	10	41.356071
100	10	7.928775
100	10	21.038009
100	10	13.84668
100	10	16.38801
100	10	24.787709
100	10	7.084
100	10	24.876088
100	10	29.422586
100	10	27.72484
100	10	30.537243
100	10	23.955312
100	10	30.18508
100	10	29.833493
100	10	56.017816
100	10	52.726853
100	10	44.840302
100	10	28.375487
100	10	22.716536
100	10	32.917031
100	10	11.976467
100	10	28.71718
100	10	29.992333
100	10	23.612803
100	10	11.068552
100	10	14.391436
100	10	27.368974
100	10	11.12305
100	10	9.214277
100	10	10.071963
100	10	18.980596
100	10	18.973358
100	10	24.036223
100	10	27.182946
100	10	32.0016
100	10	14.654733
100	10	16.500254
100	10	16.654495
100	10	17.940709
100	10	17.342159
100	10	21.534724
100	10	21.79842
100	10	9.47673
100	10	25.792256
100	10	8.703427
100	10	26.642067
100	10	39.059119
100	10	44.788253
100	10	19.033855
100	10	8.146496
100	10	1.767863
100	10	5.043597
100	10	1.195898
100	10	11.865152
100	10	10.230936
100	10	11.72433
100	10	15.8609
100	10	16.771866
100	10	27.286513
100	10	16.998489
100	10	0.0
100	10	22.091953
100	10	22.36131
100	10	33.41096
100	10	23.002235
100	10	37.940345
100	10	28.045114
100	10	33.695012
100	10	20.403522
100	10	22.417503
100	10	20.025495
100	10	41.161797
100	10	53.25867
100	10	52.812767
100	10	40.112377
100	10	13.416022
100	10	20.084837
100	10	28.876629
100	10	27.775444
100	10	1.19822
100	10	2.396438
100	10	1.198217
100	10	5.370768
100	10	1.418004
100	10	6.227279
100	10	9.566029
100	10	0.0
100	10	26.422985
100	10	8.664485
100	10	35.210717
100	10	18.407709
100	10	29.760721
100	10	31.48556
100	10	12.294934
100	10	18.307594
100	10	24.199854
100	10	1.419286
100	10	2.546063
100	10	2.922709
100	10	12.299667
100	10	19.693161
100	10	20.361449
100	10	26.722582
100	10	38.800571
100	10	30.711184
100	10	24.979983
100	10	16.042658
100	10	34.994885
100	10	17.494134
100	10	17.492237
100	10	18.626035
100	10	50.239467
100	10	26.354254
100	10	17.04419
100	10	15.174987
100	10	37.75759
100	10	35.67885
100	10	23.602309
100	10	21.235205
100	10	34.671423
100	10	21.775275
100	10	19.501294
100	10	22.657907
100	10	16.592158
100	10	22.544018
100	10	19.904879
100	10	32.656501
100	10	19.983892
100	10	50.748412
100	10	14.120858
100	10	18.346869
100	10	21.277661
100	10	14.506459
100	10	22.180695
100	10	16.609176
100	10	33.510788
100	10	8.866425
100	10	8.669124
100	10	18.032158
100	10	8.794836
100	10	25.98652
100	10	24.850672
100	10	30.236562
100	10	18.994411
100	10	11.817748
100	10	27.763565
100	10	34.669005
100	10	16.740668
100	10	21.893516
100	10	30.915309
100	10	23.014282
100	10	29.12546
100	10	29.499743
100	10	37.731756
100	10	44.582852
100	10	18.244595
100	10	29.814703
100	10	2.968665
100	10	21.174701
100	10	54.262406
100	10	38.532897
100	10	27.083723
100	10	38.302279
100	10	43.406047
100	10	30.684038
100	10	44.672934
100	10	18.703708
100	10	39.532761
100	10	21.326051
100	10	18.69574
100	10	31.531782
100	10	22.042503
100	10	29.208373
100	10	32.908155
100	10	21.975876
100	10	12.343524
100	10	36.885302
100	10	21.623914
100	10	25.1676
100	10	37.671704
100	10	23.25651
100	10	19.890651
100	10	21.956439
100	10	33.628463
100	10	33.515784
100	10	32.634942
100	10	15.24835
100	10	5.093703
100	10	40.402868
100	10	30.599997
100	10	50.226318
100	10	27.273729
100	10	10.618559
100	10	45.927077
100	10	39.580313
100	10	44.588322
100	10	18.180494
100	10	14.310558
100	10	26.321049
100	10	37.67487
100	10	11.985964
100	10	19.065905
100	10	31.04254
100	10	30.146039
100	10	10.81526
100	10	34.144198
100	10	13.12771
100	10	9.566618
100	10	36.752766
100	10	26.18558
100	10	5.321175
100	10	19.811994
100	10	48.734374
100	10	27.5939
100	10	31.559564
100	10	34.45041
100	10	5.279784
100	10	20.736834
100	10	25.091455
100	10	37.340676
100	10	13.735435
